x3,y3,z3,TRUTH
43.1263,15.2878,-143.3458,3
43.1297,15.2922,-143.3826,3
43.1191,15.2653,-143.3771,3
43.1066,15.2497,-143.3677,3
43.1089,15.2284,-143.3811,3
43.1189,15.246,-143.4062,3
43.1297,15.2471,-143.4085,3
43.1561,15.3035,-143.3997,3
43.1613,15.3405,-143.4074,3
43.1844,15.3509,-143.4022,3
43.2097,15.3422,-143.3822,3
43.226,15.3772,-143.4531,3
43.2373,15.4168,-143.4901,3
43.222,15.4205,-143.5074,3
43.1997,15.3699,-143.5334,3
43.1687,15.3195,-143.5356,3
43.1511,15.3347,-143.5838,3
43.1548,15.33,-143.5668,3
43.1667,15.3607,-143.5929,3
43.1709,15.3839,-143.5992,3
43.1438,15.3874,-143.5961,3
43.0934,15.3526,-143.6104,3
43.0717,15.3096,-143.6706,3
43.0281,15.2584,-143.6451,3
43,15.2256,-143.677,3
42.9545,15.1996,-143.6939,3
42.9112,15.1537,-143.6903,3
42.8657,15.1073,-143.7066,3
42.8214,15.0562,-143.7328,3
42.7784,15.0591,-143.7326,3
42.7542,15.0793,-143.744,3
42.7294,15.1041,-143.7657,3
42.7033,15.1356,-143.7386,3
42.6618,15.17,-143.7643,3
42.638,15.2093,-143.8082,3
42.6176,15.2543,-143.8427,3
42.5646,15.3296,-143.8625,3
42.5242,15.5016,-143.8519,3
42.5054,15.6583,-143.8182,3
42.4931,15.724,-143.7442,3
42.4981,15.6806,-143.7137,3
42.5107,15.643,-143.7537,3
42.5492,15.6235,-143.8071,3
42.6094,15.6716,-143.8331,3
42.6388,15.7878,-143.795,3
42.6591,15.8851,-143.7744,3
42.6449,15.9536,-143.7289,3
42.6647,15.9459,-143.7484,3
42.6819,15.9538,-143.7435,3
42.6408,15.8934,-143.7856,3
42.6036,15.8007,-143.7622,3
42.5479,15.708,-143.7283,3
42.5064,15.6494,-143.722,3
42.4668,15.6107,-143.7148,3
42.4526,15.5619,-143.7049,3
42.4527,15.5801,-143.733,3
42.4647,15.5945,-143.7761,3
42.4846,15.66,-143.8027,3
42.5223,15.7032,-143.8369,3
42.58,15.7397,-143.8486,3
42.6243,15.8094,-143.871,3
42.6598,15.8375,-143.8671,3
42.6722,15.8292,-143.8889,3
42.6822,15.8098,-143.8728,3
42.703,15.7979,-143.8683,3
42.7484,15.8528,-143.9184,3
42.7588,15.8347,-143.9363,3
42.7918,15.8934,-143.9443,3
42.8433,15.957,-143.9618,3
42.8834,16.0432,-143.9833,3
42.9279,16.1016,-143.9529,3
42.9803,16.1449,-144.0214,3
43.0133,16.1792,-144.0664,2
43.0629,16.1948,-144.0958,2
43.1043,16.2548,-144.1125,2
43.1084,16.2564,-144.1321,2
43.1097,16.2201,-144.1472,2
43.0993,16.2215,-144.1513,2
43.0914,16.2209,-144.1743,2
43.1357,16.2642,-144.1878,3
43.1742,16.3029,-144.2261,3
43.1879,16.2634,-144.2172,3
43.2067,16.2602,-144.2696,2
43.2123,16.2004,-144.2864,2
43.1867,16.1382,-144.2601,2
43.1517,16.1177,-144.2491,2
43.1282,16.0967,-144.2227,2
43.1226,16.0686,-144.184,2
43.0938,15.9596,-144.1655,2
43.0731,15.8686,-144.1254,2
43.0508,15.8002,-144.122,2
43.0265,15.7817,-144.1122,2
42.9947,15.7468,-144.1011,2
42.9604,15.721,-144.0464,2
42.9382,15.7113,-144.0407,2
42.9266,15.7013,-144.084,2
42.9241,15.7441,-144.1183,2
42.9126,15.7624,-144.1252,2
42.9101,15.7993,-144.1265,2
42.9042,15.8121,-144.1301,2
42.9127,15.8357,-144.1163,2
