z,x,y,z,y,TRUTH,,,
-146.1076,19.9974,43.3406,2,3,5,,,
-146.0467,20.0026,43.3628,2,3,5,,,
-146.0395,20.022,43.3922,2,3,5,,,
-146.0231,20.0587,43.4292,2,3,5,,,
-146.0336,20.0728,43.4641,2,3,5,,,
-146.0342,20.0855,43.4625,2,3,5,,,
-146.0205,20.0977,43.468,2,3,5,,,
-146.054,20.0942,43.4684,2,3,5,,,
-146.09,20.097,43.4909,2,3,5,,,
-146.1676,20.0881,43.5329,2,3,5,,,
-146.2262,20.116,43.5682,2,4,5,,,
-146.2473,20.1687,43.5676,2,4,5,,,
-146.3156,20.1774,43.5834,2,4,5,,,
-146.3935,20.158,43.5868,2,4,5,,,
-146.4977,20.1106,43.5912,2,4,5,,,
-146.5714,20.106,43.5849,2,4,5,,,
-146.6242,20.0793,43.5748,2,4,5,,,
-146.624,20.0164,43.5466,2,3,5,,,
-146.6583,19.9485,43.5172,2,3,5,,,
-146.6458,19.8888,43.4777,2,3,5,,,
-146.6085,19.8442,43.4156,2,3,5,,,
-146.6057,19.8258,43.3781,2,3,5,,,
-146.5878,19.8035,43.335,2,3,5,,,
-146.5817,19.7502,43.2989,2,3,5,,,
-146.548,19.6522,43.2515,2,3,5,,,
-146.5434,19.575,43.21,2,3,5,,,
-146.5523,19.4934,43.1628,2,3,5,,,
-146.5796,19.469,43.1174,2,3,5,,,
-146.5826,19.4334,43.0784,2,2,5,,,
-146.6122,19.4291,43.0687,2,2,5,,,
-146.6152,19.4048,43.0447,2,2,5,,,
-146.6563,19.3523,43.0359,2,2,5,,,
-146.6711,19.3118,43.0053,2,2,5,,,
-146.6699,19.2654,42.9794,2,2,5,,,
-146.6697,19.2108,42.9681,2,2,5,,,
-146.6821,19.1704,42.9595,2,2,5,,,
-146.6907,19.1802,42.9832,2,2,5,,,
-146.7182,19.1884,43.0031,2,2,5,,,
-146.7108,19.1954,43.0135,2,2,5,,,
-146.6539,19.1988,43.0355,2,2,5,,,
-146.6162,19.2336,43.0653,2,2,5,,,
-146.5682,19.2837,43.0839,2,2,5,,,
-146.5534,19.2994,43.1164,2,3,5,,,
-146.5513,19.3148,43.1518,2,3,5,,,
-146.5289,19.3453,43.1847,2,3,5,,,
-146.5259,19.334,43.172,2,3,5,,,
-146.5387,19.2866,43.1496,2,3,5,,,
-146.553,19.2524,43.1348,2,3,5,,,
-146.5388,19.2267,43.1246,2,3,5,,,
-146.5256,19.2224,43.1285,2,3,5,,,
-146.5108,19.2714,43.1567,2,3,5,,,
-146.5066,19.3061,43.1614,2,3,5,,,
-146.4984,19.32,43.1748,2,3,5,,,
-146.5004,19.3422,43.1968,2,3,5,,,
-146.5135,19.3634,43.2175,2,3,5,,,
-146.5171,19.392,43.2414,2,3,5,,,
